puuid,leaguePoints,wins,losses,tier
T8AOjrcd_-qm1t_3yTswMJ3TIRZLRbdZNaARUaLdF9ZVZPSJksjYxIF63Ds-ek8Nl9-CMNcd0G84nA,1151,414,310,CHALLENGER
LMyDAGHCOk3ZkesH0hZY7dYq-7PWuefCjgXOIZ9hhN_a-_hcM3AFTI5MmwIdtJ2RvdNaavC62jkpBA,1150,202,151,CHALLENGER
NSg5o-VtAJpNa5npn5aUtoKQlUKH2Ds-zCddRg0siiM-_Y2KfRalxSyCP3VP30sg6Z2WnURGKRMsvw,1147,377,309,CHALLENGER
wRbKn-4lH2XZPOjAqQcGeEeYhm_tXADbLoH419h3RZNxexNK-qgPiSQfA5z-06fImIt4mdiXCz1T2Q,1146,399,355,CHALLENGER
LwRtM-s5ZPjanyJvxVg6LPxITu9TqU0haXfJ8Eo3OKf9gxXMAPalv3xxgjUDwRvs1S8_iWN6wxLfXQ,1146,281,181,CHALLENGER
w128C-r_VMIe3KxNtRgiYsk12P5A0ZmiPfrTzS4HT8Pwyv1Ked0oEQZWTEx2psr4HBaeEjrj5L6f8g,1145,677,595,GRANDMASTER
dPvyE4w4VrYHwcKy-DjwJ8AXfQJlgD4aenlGuVw_CrHcWQoNf6uDD58TLGnEmlJj1k7PpRd-pk3EAQ,1143,476,441,CHALLENGER
FCgjloB9mBQ_vLuYkkTRfJYTigrkk_6Ls_fACD-1jdlj2I3HAGbl_WpFzG93Uc4adxeYJCrwZuYEFA,1143,202,152,CHALLENGER
zyDVGgww0J-c58EIGvoKPHaaVw4ehTroA_6cr-H4iQx2gKbd-NVtx9Id7xpC87GMGe5coNCYDHPdcw,1141,257,214,CHALLENGER
MI-kUDCe7wJ0Sq8ueH2dEzBjO6o-ePvzpUx6eIqGLPXIH9AzS9Rs8h1oX-FS-RwtSPW9uXo0obLAhw,1141,194,162,CHALLENGER
BAr86TifalZU-YEQSq1WQZWECdibBBzxw0pcs2za0ypeVC150okr-S0CqDZRu5L51NNNRhXzpxCMfw,1138,265,195,CHALLENGER
Cup1XEioQGQbYxzY9sAPFEcJUbXLJj_CTD0QxM9EYpHejjcjpzrVSzFgCtK0_7Q0POgsvtjAvCwUrw,1137,196,137,CHALLENGER
yL17JTg8YepMeEyaBDcWH8Yhu76-Gyt-O0QxbPlYwgwKDZ2R_Tgi0d85_bgHCz8Zy07O6uHRyLWuHg,1136,351,279,CHALLENGER
_Nt8I33ZQs4lPnpauNriVox5MCBCYZy_ttpZ-OtRwHr_cNhMdiEWPnH-YFWybuqNZXekQdi-ZURYEQ,1133,407,362,CHALLENGER
rLT6oaqATy9mIihN81jTDQgeGnT_bdbwmq33XMxmUV-t1FdosFIdPcF4mkAQ9ZgDYFDlCGAHWEARMw,1132,136,82,CHALLENGER
fNQKAt9e4p8lE2cHFWnSbraBJGksN4klsaQdVhUEthDMqqIgnRyUHnrvIYDL28s2tTougG22mZ7grg,1129,424,359,GRANDMASTER
h3MP3lyZzgY5RtYcGdnU9xCmMYebxkRl2QLt-yv_lE5KMO5pvg2NU-OOIBWDto5IrwgL8Q7Esw7XWw,1127,124,69,CHALLENGER
XMCsPkZtcX_RFjhi4KfbqoC_4U-WB_VY59qrrZN89RdMiaPCYjNXqlAA4pHhaZ274ZIqz07ggKlkYg,1126,124,75,CHALLENGER
MF-LghIA4jQHshH6PfDD0fWJ5nAqr_7E6ePs2Fm4s_Gze08F3OzN_eKidr7CoFh4zf0h57coIVke7A,1126,505,452,CHALLENGER
xKbbcbzZXy9buHlVpaUORI4n0z8iQNtvNWOcN3raMW1CBECOqsRk3RG_GkBBbbOo0yOjfjB-hNIOIQ,1125,435,368,CHALLENGER
mOBvv6pDltTFBY9Mvlod_1Oj5e1p0rTo0AsfYGnDhN_Z4sUgC0Gdo6zjJXoedcxsdnxqiNE3xa2cwg,1124,326,287,CHALLENGER
